TriMAP2,TriMAP1
20.848986,21.397295
-18.909025,-0.6772685
-1.1206331,35.409336
-10.984666,-20.63015
16.877438,8.383547
23.045553,25.93576
-10.387971,-17.171494
-20.523293,32.53453
-2.2877886,21.660189
-5.803513,2.6812847
-8.375422,0.40754762
-10.90368,-20.619541
-1.7199087,34.065773
12.658889,-12.603279
25.004692,29.336647
11.693483,11.472904
8.335808,-2.1360035
27.106665,32.920773
14.19344,2.3684635
21.905968,23.586689
-0.16949177,4.851725
22.492752,-27.658182
12.942315,-4.773146
-39.29625,-24.457474
17.441391,-22.2638
-6.540786,7.2520266
-33.593647,4.963771
33.897972,-10.29205
26.945452,32.416225
7.179414,8.609186
-36.79997,6.243548
-1.800576,32.554985
-39.496723,-24.615757
-32.91103,4.679638
-45.995705,-29.14107
19.559093,17.802109
11.070626,10.95717
-21.244596,34.804596
-10.310707,-15.481325
-1.5807511,34.31055
-18.513186,26.536192
33.049885,-10.031922
-41.243904,-26.038836
-2.702639,16.714304
22.685524,25.455502
-42.447674,7.958651
16.826824,-21.425009
-11.476999,-23.067282
-12.063821,-5.427283
-2.266891,24.826687
30.622585,9.448668
-10.430464,-18.16334
-49.180763,12.986762
-17.241096,23.956015
-47.626026,12.368335
43.046898,-11.664597
-1.9045515,34.35159
-13.256102,-4.2747874
-34.446335,5.3466864
-28.892923,-14.53366
-11.273333,-1.4540117
-1.0768675,35.824886
36.0743,-10.670539
30.146204,38.97072
28.470522,-8.868753
29.556463,10.148037
-48.517384,12.495851
-36.23127,6.083438
-32.58709,4.61241
12.928931,-12.910887
39.236576,-11.146995
-43.781925,9.365386
-2.8036604,15.942456
-12.504938,14.0126295
-12.191206,-25.867186
24.4233,28.345682
-11.541486,-23.273079
-8.850393,9.317134
-35.828426,5.9051967
34.898865,-37.42296
27.760859,10.250295
-35.55446,-20.912855
-12.660046,14.179155
-11.516645,-23.167553
31.665276,9.466993
-11.197209,11.9662
-48.428565999999996,13.158038
11.737998,-6.4335046
29.169344,36.63361
-21.901287,39.355206
-46.809258,11.453045
-10.369532,-14.555207
-18.776012,27.945778
-12.380962,-26.374743
-20.023045,30.984642
40.8918,-11.3623085
-14.212252,17.018055
-35.36941,-20.632528
-21.852924,36.998405
-12.271476,13.22016
-32.08361,4.4980907
18.428122,-23.522873
42.626682,-11.614169
-0.95729494,35.69291
-0.8635748,3.601415
-14.386831,17.15586
32.062706,-35.273724
39.39241,-38.987095
-14.376467,-3.4818227
-13.633426,-30.256042
16.79022,9.050268
22.390568,-6.9586606
23.011175,-7.1292
-1.6862376,3.778022
-11.546923,-23.076445
-8.186655,0.73404896
-42.70235,9.004479
-35.313736,5.744764
12.382136,-11.414092
25.580915,-8.238671
-19.21379,-9.275388
26.520344,31.790966
-1.7462548,30.81855
20.175312,11.451476
-23.448128,-10.54304
34.942894,-37.033344
-32.478054,4.6257577
-49.126617,12.921988
13.023032,-13.51137
-4.075088,7.1606007
-1.708532,31.434692
14.215057,-16.506548
27.480621,33.22039
14.466099,-5.133747
11.624373,-7.3070025
40.29426,-39.31272
-25.181149,-11.843547
-21.638653,36.142937
6.5367684,-0.6255938
12.203092,-10.519152
-10.677714,-11.172517
-20.595524,-9.099506
26.768969,-31.39433
-37.696133,-22.967932
26.625393,-31.6942
23.590704,-7.3868566
-1.585963,3.5564027
-20.497372,32.457638
-21.887932,39.368107
21.88163,11.059692
-25.550797,2.2952237
15.689161,-19.674301
29.77456,-9.265196
12.437347,-0.33488035
-1.7572472,30.497208
30.23509,9.948053
11.59777,-8.27113
-23.412483,-10.742313
36.77721,-10.870458
-13.609956,-32.906105
13.510493,1.359908
-1.2374749,34.971565
39.672188,-39.13203
22.8288,10.981536
-35.551357,-20.86271
-11.208095,-22.006407
-17.930996,25.259163
-12.066886,12.815504
25.61463,-8.393999
-19.349735,-7.8362813
17.941355,-22.757174
22.62468,25.307055
-0.36297557,4.665632
-2.1916878,24.54761
16.621227,7.280996
21.728903,-26.922234
31.927147,9.923971
26.775166,-31.500195
-43.64017,-27.686583
46.13481,-12.371412
17.017424,8.24188
7.081045,8.930191
18.08409,-22.945902
15.248707,-18.7811
-47.547756,12.2974
29.123835,-9.084437
-11.831938,-24.17701
-11.397044,-6.0556855
16.159946,-5.5458865
-21.929996,0.97677046
-12.383632,-2.7722254
42.35864,-11.576349
-2.0253475,26.458279
-11.455292,-22.541508
3.3914895,0.38611585
12.98323,-4.393343
16.250534,-20.53418
17.245846,9.428479
-10.772269,-11.062854
10.772663,10.799679
26.63866,10.43972
-13.921742,-33.52341
16.64746,-21.248951
24.901598,-30.26662
-18.191864,-10.940744
-14.916828,-36.779987
-0.036484066,4.87501
16.095392,6.173382
-1.9717187,27.045975
36.642403,-10.847798
-6.6253314,7.4291453
-2.4082072,19.931095
36.40546,-37.6496
18.637653,-23.563345
-17.250017,23.839104
-15.7734785,-2.6435611
36.24371,-10.798277
24.988552,-7.8903856
-16.93148,-1.7620631
-13.276682,15.158784
25.692137,30.549519
-45.00207,10.118199
7.0175853,8.823742
-48.459503,13.017692
-2.760097,16.149744
17.547602,10.7746525
-44.57178,-28.247795
-22.835629,-10.05717
34.974342,-10.420466
-13.921987,-33.774334
-14.2664795,-34.915894
-2.0275307,26.599102
-39.84839,7.436156
-18.53299,-10.020039
-15.776322,-3.1505003
-1.5791227,32.68919
16.870733,-21.60096
-9.496049,-0.29268995
-3.452069,10.3185215
31.88614,-9.786263
12.626974,-12.17715
9.722883,10.653909
28.940178,10.0849495
18.46805,14.510819
-13.038969,-28.988283
7.153938,-1.6588018
-9.277398,9.805872
25.0534,-30.304571
-42.80472,-27.165667
11.9999075,-5.422648
-44.025898,-27.86651
-1.6736403,32.84336
-13.835589,-3.8921418
-42.29678,8.314581
-11.082098,-21.380556
-27.91974,-13.786516
-10.453039,-17.80424
-42.549526,8.409333
-18.912968,-9.749358
-1.93049,29.140203
-2.2816243,24.670713
19.423983,17.550701
42.248085,-11.550942
-14.863283,17.995182
30.693264,-9.450286
-34.13048,5.2260485
1.0576296,2.1676605
17.77959,10.638544
-11.024908,-20.655865
-12.723647,-4.635765
11.491717,11.406462
29.363276,36.95886
-27.757654,-13.736003
32.208195,10.346517
12.950626,-12.734174
-37.86144,6.747561
27.750925,33.493904
-24.689564,-11.40471
-31.873678,-16.935835
22.85804,-7.285609
-1.7935911,30.168283
-17.17641,23.60907
43.187977,-11.691413
33.32474,-36.080063
28.127882,34.272686
-14.246728,16.996265
-20.088476,0.23408239
-2.3685963,20.858715
15.599663,5.0428324
-2.2620077,21.244299
-38.82842,-24.02277
-14.922146,18.452772
-28.296988,-14.043066
22.098988,-27.305931
20.152782,19.142395
-18.84882,28.490915
25.259548,29.81573
40.310307,-39.432716
-12.575509,-30.8344
-21.72817,36.5932
13.69967,1.6585562
13.267987,-13.575591
-31.285826,4.3116584
-21.627617,36.952576
17.85365,11.501986
26.443645,31.728567
-16.500963,22.058088
-10.814195,-10.471664
44.253807,-11.828673
-2.099789,20.717167
-29.69854,-15.184211
-21.87302,-9.569595
-10.897853,-8.94869
25.056784,-7.687042
17.849781,11.659542
21.824162,23.555906
-20.152351,30.854305
-1.7713617,30.473398
-3.7400072,7.123377
-2.1450076,24.993238
33.617435,-36.25598
-19.378433,29.333862
-15.21488,19.046701
-10.377345,-14.0909
-29.821926,3.597941
-17.035856,23.267008
24.527643,28.515152
14.272288,-5.0610356
29.377258,10.154836
20.476805,11.362148
4.0768633,0.15266193
-11.754693,-5.767246
-30.705965,-15.943068
3.5099423,6.483897
15.947407,-19.928078
-25.891747,2.4328256
-37.653843,-22.828917
-21.310572,34.961887
1.0262352,5.18131
-12.928192,-28.67043
30.054993,-9.3900795
42.31953,-11.53605
-2.278596,24.11024
-14.272203,-33.962498
45.63356,-12.314365
-41.04749,7.6730566
12.1064415,-1.1012632
-10.336708,-16.970606
-4.265319,4.8002963
-10.5846615,-19.038313
6.500266,8.475072
-29.634167,3.7111473
-44.58751,-28.291254
-42.257034,8.250906
-11.794483,-24.092983
-10.64965,-11.969211
-36.247265,-21.530167
-14.823576,17.790802
-2.0994916,26.670425
-0.7991982,4.6274505
-39.903454,7.3532305
11.462876,-3.8022354
-34.81072,-20.13382
14.013724,2.1188903
23.498877,-7.400811
-18.563679,-10.267544
-19.585846,29.848675
-15.390261,-37.633217
25.149942,29.555601
-10.608077,-19.363651
26.766273,-31.432327
40.146683,-11.215115
25.366457,30.06324
-42.06438,9.292757
-2.2460124,20.585974
-49.044266,13.266628
-37.566326,-22.839548
27.072617,10.418361
-13.209512,-28.977749
21.674967,23.217638
28.57655,-32.634296
19.56642,11.595299
-12.11272,-25.545473
-1.1798936,34.974663
18.556803,-23.277693
-12.188912,-25.970259
19.976818,-25.2394
41.26456,-11.464737
-43.924496,-27.774296
-18.39873,-10.348928
29.745241,37.91689
31.852484,9.915951
21.803843,23.545616
-19.229416,-8.6953335
-2.5170138,4.0014997
30.352386,-33.986027
-1.7647291,34.269665
-28.797253,-14.504151
-14.9147005,18.218409
-36.881393,-22.208498
39.737576,-39.18472
-20.949732,33.86991
-18.594454,-6.5284567
2.2378902,5.9565706
10.257502,11.277514
-32.678577,4.6479616
11.076677,11.241483
18.02808,11.367884
-10.419906,-17.901438
-37.121605,-22.463888
40.20691,-39.30152
29.368368,10.195741
-13.046614,-28.593712
-14.016765,-34.207424
15.417641,-19.043716
-18.821186,-9.833384
-19.040375,28.507488
-8.4291725,0.47720084
29.008448,-33.140892
-17.943636,25.337902
-36.44581,-21.806433
4.953736,-0.31030682
-32.5357,-17.594696
28.431902,34.74423
-17.899664,25.173113
-39.27948,-24.389637
-10.34299,-14.722528
-43.330925,9.942458
-11.129496,11.663583
22.564775,10.916753
-2.8186092,4.0657506
28.691551,-32.755814
-40.461338,-25.391115
39.74956,-11.198285
34.30948,9.286408
18.947645,-24.151527
-36.69811,6.2367024
-46.14256,-29.229755
-10.40707,-17.53055
-32.230408,-17.213293
33.407307,-10.1245365
-11.551423,-23.37024
32.2976,9.484163
-15.565326,19.47123
30.071016,38.820858
13.060775,0.7355581
12.920098,-13.5404415
-12.452639,-3.6509056
-21.389597,-9.21576
-3.5494926,10.195597
-44.674084,-28.337202
-12.243402,-5.617578
-21.914661,39.462696
-21.089886,38.19401
27.932898,33.770332
-34.399677,5.3229585
-25.481218,2.2699316
-3.5491736,8.292939
29.820963,9.970211
24.293306,-29.3496
-18.4539,26.311749
-21.910872,39.390602
-7.631098,8.143769
-1.6601056,32.524036
16.48196,7.2044954
-2.7656264,16.352785
-34.66695,5.4795766
12.934189,-12.461272
-49.42273,13.547619
-2.2358477,23.018063
-2.4722352,22.046366
